,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
273,350,SAR,100.297,41.0,2.0,29.224,42.873,28.2,HARD,22.0,Williams,16.0,172.024064171123,296.0,62.0,50.16577540106952,0.29411764705882354,0.22727272727272727,29.8,35.5,169.0,1.8,-0.04706015996978085,0.46448923079677706,0
274,354,SAR,98.531,45.0,3.0,28.806,41.953,27.772,MEDIUM,2.0,Williams,17.0,178.45283018867926,300.0,60.0,52.95956873315364,0.31536388140161725,0.22641509433962265,29.6,35.1,174.0,2.5,-2.826937831242068,0.6582369171131954,2
275,356,SAR,98.589,47.0,3.0,28.803,42.061,27.725,MEDIUM,4.0,Williams,16.0,178.696,298.0,63.0,54.309333333333335,0.3466666666666667,0.24266666666666667,29.5,34.9,181.0,2.2,-3.156291569663222,0.4620784664814534,2
276,357,SAR,98.711,48.0,3.0,28.651,42.259,27.801,MEDIUM,5.0,Williams,16.0,174.56363636363636,297.0,60.0,51.812987012987016,0.34285714285714286,0.23376623376623376,29.6,34.8,167.0,1.7,-1.8035843742191116,0.5013395629516793,2
277,358,SAR,98.69,49.0,3.0,28.723,42.152,27.815,MEDIUM,6.0,Williams,16.0,177.46556473829202,299.0,61.0,52.358126721763085,0.33608815426997246,0.22865013774104684,29.6,34.9,134.0,1.8,-2.2645856894373484,-0.09265024656486019,2
278,359,SAR,98.657,50.0,3.0,28.817,42.125,27.715,MEDIUM,7.0,Williams,16.0,175.93530997304583,298.0,62.0,53.908355795148246,0.33153638814016173,0.23450134770889489,29.6,35.2,178.0,1.2,-1.8831231237026715,-0.5765559660811023,2
279,360,SAR,98.62,51.0,3.0,28.712,42.077,27.831,MEDIUM,8.0,Williams,16.0,178.28840970350404,298.0,61.0,55.318059299191376,0.3584905660377358,0.21293800539083557,29.6,35.6,178.0,1.7,-2.6698606340720574,-0.46739495269952136,2
280,362,SAR,98.983,53.0,3.0,28.748,42.342,27.893,MEDIUM,10.0,Williams,15.0,177.97127937336813,297.0,62.0,54.77284595300261,0.3237597911227154,0.2193211488250653,29.6,34.8,162.0,2.0,-2.8815377623328424,0.27737427645016544,2
281,363,SAR,98.933,54.0,3.0,28.814,42.329,27.79,MEDIUM,11.0,Williams,15.0,177.21584699453553,297.0,63.0,53.63387978142077,0.33879781420765026,0.23770491803278687,29.6,34.6,174.0,1.3,-2.3161452062854364,-0.11426761387738585,2
282,364,SAR,98.858,55.0,3.0,28.823,42.279,27.756,MEDIUM,12.0,Williams,15.0,176.77008310249306,297.0,59.0,53.85595567867036,0.3185595567867036,0.22437673130193905,29.5,34.8,167.0,1.8,-2.544165993522503,0.8736026418020483,2
283,365,SAR,98.881,56.0,3.0,28.8,42.27,27.811,MEDIUM,13.0,Williams,15.0,178.0625,297.0,62.0,53.041666666666664,0.3229166666666667,0.21875,29.5,34.8,177.0,1.7,-2.9148974587908767,0.3109770917866555,2
284,366,SAR,99.171,57.0,3.0,28.771,42.439,27.961,MEDIUM,14.0,Williams,15.0,177.1152815013405,297.0,62.0,53.30831099195711,0.34316353887399464,0.225201072386059,29.6,34.8,173.0,1.7,-2.374934533115943,0.412848221062299,2
