,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
546,577,TSU,93.968,8.0,1.0,32.368,35.49,26.11,HARD,8.0,AlphaTauri,14.0,202.08139534883722,342.0,63.0,60.883720930232556,0.47093023255813954,0.19186046511627908,27.3,35.8,134.0,4.0,3.3380280744323225,-0.3918229050758759,2
547,578,TSU,93.447,9.0,1.0,32.246,35.36,25.841,HARD,9.0,AlphaTauri,14.0,203.52459016393442,342.0,62.0,62.076502732240435,0.47540983606557374,0.16939890710382513,27.5,37.6,132.0,3.0,2.7393769156390295,-2.009946671436711,0
548,579,TSU,93.759,10.0,1.0,32.38,35.418,25.961,HARD,10.0,AlphaTauri,14.0,207.1206896551724,343.0,65.0,62.61206896551724,0.47126436781609193,0.1839080459770115,27.7,37.9,107.0,3.0,2.657230038140079,-2.9454508097043464,0
549,580,TSU,93.565,11.0,1.0,32.28,35.319,25.966,HARD,11.0,AlphaTauri,14.0,207.96648044692736,339.0,64.0,63.09497206703911,0.5,0.17318435754189945,27.6,36.5,137.0,3.7,1.5814843711476994,-1.9432433434293852,0
550,581,TSU,93.186,12.0,1.0,32.108,35.21,25.868,HARD,12.0,AlphaTauri,14.0,209.21902017291066,343.0,62.0,62.809798270893374,0.49279538904899134,0.19596541786743515,27.6,35.5,134.0,3.7,1.331190978713477,-1.7562123920075585,0
551,582,TSU,93.562,13.0,1.0,32.369,35.391,25.802,HARD,13.0,AlphaTauri,14.0,202.8870056497175,342.0,61.0,61.25141242937853,0.4689265536723164,0.2033898305084746,27.3,35.0,130.0,4.6,2.7424947555433925,-0.15914088500060997,2
552,583,TSU,93.877,14.0,1.0,32.4,35.535,25.942,HARD,14.0,AlphaTauri,14.0,205.18980169971672,343.0,60.0,61.81019830028329,0.48441926345609065,0.17847025495750707,27.1,34.5,139.0,2.9,2.3442336656529603,0.1708769169346012,2
553,584,TSU,93.713,15.0,1.0,32.287,35.519,25.907,HARD,15.0,AlphaTauri,12.0,206.5966386554622,342.0,62.0,62.49579831932773,0.47619047619047616,0.1792717086834734,27.3,34.4,138.0,4.6,1.6943882647454207,-0.01631012552761318,2
554,585,TSU,93.744,16.0,1.0,32.475,35.451,25.818,HARD,16.0,AlphaTauri,11.0,204.8757225433526,344.0,58.0,62.67341040462428,0.476878612716763,0.1676300578034682,27.1,33.7,144.0,5.4,1.8234447053033342,1.1346428541392088,2
555,586,TSU,94.294,17.0,1.0,32.254,35.989,26.051,HARD,17.0,AlphaTauri,11.0,202.6638418079096,333.0,62.0,62.652542372881356,0.4830508474576271,0.1751412429378531,27.1,33.7,127.0,3.7,2.603592301728695,1.1014983976397716,2
